Modality,StudyDescription,BodyPartExamined,SeriesDescription,series_count
CT,Head^1_Head_SAFIRE (Adult),HEAD,Topogram  0.6  T20f,16466
CT,CT Abdomen & pelvis wi,,Smart Prep Series,16358
CT,CT Angiogram Pulmonary,,Dose Report,16285
CT,Head^Ayr_Head_Spiral (Adult),HEAD,Head  5.0  True Axial,16263
CT,CT Head,,Exam Summary,16207
CT,CT Thorax & abdo & pel,,SCOUT,15770
CT,CT Head,HEAD,Head  1.0  H31s,15413
CT,CT Abdomen/Pelvis With Contrast,,Dose Report,15307
CT,CT Urogram,,Dose Report,14770
CT,CT Abdomen & pelvis wi,,SCOUT,14555
CT,Abdomen^1_AbdomenPelvis_SAFIRE (Adult),ABDOMEN,Topogram  0.6  T20f,14368
CT,HEAD,HEAD,2,14349
CT,CT Head,HEAD,2.0   Sharp,14119
CT,Abdomen^1_AbdomenPelvis_SAFIRE (Adult),,Patient Protocol,13948
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,2,13850
CT,CT Head,HEAD,5mm Brain MPR,13570
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Axial 1 5,13523
CT,Head^Ayr_Head_Spiral (Adult),HEAD,Head  1.0 3D,13429
CT,Head,HEAD,5.0 Head  Brain,12882
CT,CT Abdomen and pelvis with contrast,ABDOMEN,Body 1.0 CE,12859
CT,NM Whole body PET FDG,,CT Std ET,12786
CT,Head^Brain (Adult),HEAD,Head  1.0,12753
CT,Head,HEAD,1.0 Head  Brain,12560
CT,CT Abdomen/Pelvis With Contrast,,Patient Protocol,12413
CT,NM Whole body PET FDG,,CT Std ET 690,12234
CT,CT Head,HEAD,Head  1.0  J30s  2,12214
CT,CT Abdomen & pelvis wi,,Dose Report,12132
CT,HEAD,,Scout,12125
CT,CT Thorax abdomen pelv,,SCOUTS,12110
CT,CT Head,HEAD,Topogram  0.6,11886
CT,Head^Brain (Adult),HEAD,Topogram,11856
CT,CT Head,,5,11790
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Lung,11464
CT,CH/AB/PEL,CH_AB_PEL,",1.0,Std. Volume,Body,Vol,CE",11394
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,Topogram  0.6  T20f,11323
CT,,HEAD,5,11264
CT,CT,,Scout,11154
CT,CT Thorax & abdomen wi,,Dose Report,11128
CT,CT Head,HEAD,Head  1.0  J30s  3,11109
CT,CT Abdomen and pelvis with contrast,,Scout,11090
CT,CT Chest High Resolution,,Dose Report,11079
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Topogram  0.6  T20f,10998
CT,NM Whole body PET FDG,,CT AC ET 690,10995
CT,CT Head,,0.625mm recon,10950
CT,CT Thorax abdomen pelvis with contrast,CHEST,Topogram  0.6  T20s,10831
CT,HEAD,,Dose Report,10791
CT,CT Abdomen/Pelvis With Contrast,,Abdo Pelvis 1.25mm,10773
CT,NM Whole body PET FDG,,CT AC ET,10570
CT,ABDO/PELVIS,ABDO_PELVIS,2,10569
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Thorax  1.5  I31f  3,10451
CT,CT Head,,,10430
CT,CT Thorax & abdomen wi,,SCOUT,10161
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,2,10102
CT,CT Head,,Head 1.25mm,9839
CT,CT Abdomen & pelvis wi,,1.25 ABDO/PELVIS,9735
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),CHEST,Thorax  1.0  I31f  3,9694
CT,Head^Brain (Adult),,Patient Protocol,9674
CT,CT Thorax and abdomen with contrast,,Dose Report,9624
CT,CT Abdomen  pelvis with contrast,ABDOMEN,Topogram,9596
CT,CT Chest high resolution,,Dose Report,9558
CT,,HEAD,2,9424
CT,CT Abdomen and pelvis with contrast,,Patient Protocol,9405
CT,CT KUB,KUB,5,9400
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Scouts,9360
CT,CT Thorax abdomen pelvis with contrast,CHEST,Thorax  1.0  B20f 3D,9333
CT,NM Whole body PET FDG,,CT SCOUT HEAD IN,9236
CT,CT Head,HEAD,Head  4.0  MPR,9233
CT,CT Thorax & abdomen wi,,CHEST STAGING,9205
CT,CT Angiogram Pulmonary,CTPA,2 CE,9197
CT,CT Abdomen and pelvis with contrast,,1.25mm Std,9185
CT,CT Abdomen and pelvis with contrast,,Dose Report,9101
CT,CT Cardiac Angiogram Coronary,,Timing Bolus,8914
CT,CT Thorax abdomen pelvis with contrast,,1.25mm Chest/Abdo/Pelvis,8877
CT,CT Thorax abdomen pelvis with contrast,,SCOUT,8858
CT,ABDOMEN/PELVIS,ABDOMEN_PELVIS,2,8826
CT,CT Thorax abdomen pelvis with contrast,CHEST,Topogram,8826
CT,CT Chest High Resolution,HRCT,2,8794
CT,CT Thorax & abdo & pel,,1.25mm chest abdomen pelvis,8603
CT,CT KUB,,Dose Report,8566
CT,CT Chest/Abdo/Pelvis/ With Contrast,ABDOMEN,Topogram  0.6  T20f,8553
CT,CT Renal Both,,SCOUT ABDO,8515
CT,CT Head,,2.5mm Axial,8508
CT,CT Angiogram Pulmonary,CTPA,Lung 10.0 CE,8494
CT,CT Colonoscopy (Virtual),,Dose Report,8452
CT,CT Cardiac Angiogram Coronary,,Scout,8446
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Scout,8430
CT,CT Urogram,ABDOMEN,Topogram  0.6  T20f,8428
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,2,8388
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Thorax  1.5,8383
CT,CT Head,,0.5 Head Brain,8379
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,2,8351
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,2.0   Sharp,8336
CT,CT Chest/Abdo With Contrast,,Patient Protocol,8334
CT,Head^SpiralHead (Adult),HEAD,Head  1 mm,8333
CT,CT Thorax & abdo & pel,,CHEST/ABDO/PELVIS,8322
CT,CT Abdomen and Pelvis,ABDOMEN,iDose (4),8316
CT,Head^SpiralHead (Adult),HEAD,Head  5 mm,8197
CT,CT Thorax abdomen pelvis with contrast,,1.25mm C.A.P DMPR,8165
CT,CT Angiogram Pulmonary,,Scout,8123
CT,Head,HEAD,2.0   Sharp,8035
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,Body 1.0 CE,8030
CT,Head,HEAD,5.0 Head Sagittal Brain,8015
CT,CT Head,BRAIN,"1mm, iDose (1)",7991
CT,CT Head,HEAD,Head  1.0,7971
CT,CT Thorax and abdomen,,SCOUTS,7933
CT,Head^Brain (Adult),HEAD,Head  5.0 Baseline,7920
CT,CT Head/Neck,HEAD,",Sharp,,,",7859
CT,CT Abdomen and pelvis with contrast,ABDOMEN,Topogram  0.6  T20s,7839
CT,CT Cardiac Angiogram Coronary,,Processed Images,7829
CT,CT Head,HEAD,1.0 Head   Brain Volume,7773
CT,CT Chest/Abdo With Contrast,,Axial 1 5,7761
CT,Thorax^CHESTABDOPELVIS (Adult),CHEST,Topogram  1.0  T20s,7734
CT,Head,HEAD,Head 0.5,7725
CT,CT Head,,Recon 2: 2.5MM AXIAL,7709
CT,CT Angiogram pulmonary,,1.25mm Lung,7669
CT,CT Angiogram pulmonary,CHEST,2,7654
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Chest Abdo Pelvis 1.25mm,7640
CT,Thorax^4_CTPA_SAFIRE (Adult),CHEST,Thorax  5.0  I70f  3,7599
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5.0 Body Venous/Phase/Coronal Std. Volume CE,7541
CT,CT Chest High Resolution,HRCT,7,7540
CT,NM Whole body PET FDG,,CT Std ET 710,7520
CT,Head,HEAD,5.0 Head Coronal Brain,7520
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5.0 Body Venous/Phase Std. Axial CE,7483
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,AbdoPelvis  1.5  I26f  3,7446
CT,CT Sinuses,,Dose Report,7425
CT,CT Angiogram Pulmonary,CHEST,Topogram,7400
CT,CT Chest High Resolution,HRCT,1.0 Lung Volume,7393
CT,CT Thorax abdomen pelvis with contrast,,Scout,7316
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Thorax  1.5 lung,7264
CT,Thorax^WholebodyStagingDP (Adult),,Patient Protocol,7262
CT,CT Head,HEAD,Head  1.0  J40s  3,7250
CT,CT Head,HEAD,HeadSeq  1.2  H31s,7182
CT,CT Chest With Contrast,,Patient Protocol,7166
CT,Thorax^4_CTPA_SAFIRE (Adult),CHEST,Topogram  0.6  T20f,7125
CT,CT KUB,,Scout,7076
CT,Head^01HeadSpiral_4x1_VOL,HEAD,Topogram,7071
CT,CT Head,HEAD,1.0 Head  Brain,7020
CT,CT Thorax and abdomen with contrast,,Patient Protocol,6937
CT,CHEST/ABDO,CHEST_ABDO,",1.0,Std. Volume,Body,Vol,CE",6912
CT,Head,HEAD,3.0 Head Coronal Brain,6894
CT,Abdomen^AbdomenRoutine (Adult),ABDOMEN,Topogram  0.6,6885
CT,Thorax^CHESTABDOPELVIS (Adult),,Patient Protocol,6870
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,2.0   Sharp,6834
CT,,HEAD,1.0 Head,6813
CT,CTPA,CTPA,2,6812
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,Abdomen  1.0  I30f  3,6811
CT,Thorax^7_SingleRun_Thorax_Abdo_SAFIRE (Adult),CHEST,Topogram  0.6  T20f,6801
CT,CT Urinary tract,,Dose Report,6746
CT,HEAD,HEAD,2.0   Sharp,6743
CT,CT Thorax abdomen pelvis with contrast,,CAP (DMPR) 1.25MM,6733
CT,CT Head,HEAD,KEY_IMAGES,6720
CT,CT Abdomen/Pelvis With Contrast,,Scouts,6701
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Abdopelvis  1.0,6684
CT,CHEST_TO_PELVIS,CHEST_TO_PELVIS,2.0   Sharp,6622
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,5 PORTAL VEN CE,6617
CT,CT Angiogram pulmonary,CTPA,2,6598
CT,Thorax^1_ChestAbdo (Adult),CHEST,MEDIASTINUM 2MM,6593
CT,CT Abdomen and pelvis with contrast,ABDO_PELVIS,2,6584
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,Body 1.0 PORTAL VEN CE,6531
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Topogram,6527
CT,Abdomen^4_KUB (Adult),,Patient Protocol,6517
CT,CT Chest/Abdo/Pelvis/ With Contrast,ABDOMEN,AbdoPelvis  1.5  I26f  3,6515
CT,Abdomen^1_AbdoPelvisRoutine (Adult),ABDOMEN,ADBO 2MM,6507
CT,CT,,Dose Report,6467
CT,CT Head,,Head 1.0,6466
CT,CT Chest High Resolution,HRCT,1.0 Body AIDR Std,6460
CT,"CT Chest, Abdo, Pelvis + C",,Post Contrast SS 40,6455
CT,CT Chest With Contrast,,Dose Report,6448
CT,CT Urinary tract,,Patient Protocol,6442
CT,CT Abdomen and pelvis with contrast,ABDOMEN,2 CE,6441
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,2.0   Sharp,6440
CT,CT Angiogram pulmonary,,0.625mm Std,6397
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,1.0 Body Arterial /Phase Std. Volume CE,6378
CT,Thorax^7_SingleRun_Thorax_Abdo_SAFIRE (Adult),ABDOMEN,Abdomen  1.0  I70f  3,6366
CT,Thorax^01Chest-Abdo-Pelvis_VOL,CHEST,Topogram,6362
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Topogram  0.6,6355
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_P,2   Port_Ven/Phase CE,6348
CT,CT Chest/Abdo With Contrast,,Scout,6336
CT,CT Head,HEAD,1.0 Head Brain Volume AIDR,6323
CT,CT Thorax & abdo & pelvis with contrast,,Soft_Tissue 1.0 Body Volume Port_Ven/Phase CE,6264
CT,Thorax^ChestLiverStaging (Adult),CHEST,Topogram,6255
CT,CT Renal Both,,Dose Report,6242
CT,CT Angiogram Pulmonary,CHEST,Thorax  1.0  B31f,6220
CT,Thorax^4_CTPA_SAFIRE (Adult),,Patient Protocol,6205
CT,CT Thorax abdomen pelvis with contrast,CHEST,2.0   Sharp  Scano,6203
CT,Abdomen^Ayr_Abdo_Pel (Adult),ABDOMEN,Topogram,6171
CT,CT Abdomen and pelvis with contrast,ABDOMEN,Abdomen  1.0  B20f 3D,6154
CT,CT Angiogram Pulmonary,ABDOMEN,PE  1.0  I26f  3,6151
CT,Head^Head_Spiral_BGH (Adult),HEAD,Head  4.0  MPR,6141
CT,CT Head,,2.5MM AXIAL,6096
CT,CT Head,,iDose (3),6088
CT,Thorax^1_Thorax_NonC_SAFIRE (Adult),,Patient Protocol,6076
CT,Thorax^ChestAbdoBolus (Adult),CHEST,Topogram,6025
CT,Head^HeadSeq,HEAD,Topogram,6021
CT,CT Chest/Abdo With Contrast,,Scouts,6015
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,Body 1.0,6014
CT,"CT Chest, Abdo, Pelvis + C",,Scout,5953
CT,Abdomen^AbdomenRoutine (Adult),,Patient Protocol,5949
CT,CT KUB,,Patient Protocol,5931
CT,Upper Extremity,,Individually captured images,5923
CT,Abdomen^4_KUB (Adult),ABDOMEN,Abdomen  1.0  I26f  3,5923
CT,Thorax^7_SingleRun_Thorax_Abdo_SAFIRE (Adult),,Patient Protocol,5922
CT,CT Head,,HELICAL VOLUME 0.625,5891
CT,CT Angiogram aorta,,SCOUT,5884
CT,CT Thorax abdomen pelv,,Dose Report,5881
CT,CT Head,,/Head/Brain/0.5//,5871
CT,CT Head,,Scouts,5856
CT,HEAD,,2.5/5mm HEAD,5822
CT,CTPA,,Dose Report,5803
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,Body 1.0,5783
CT,ABDO/PELVIS,,Abdo Pelvis 1.25mm,5769
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,1.0 Body Venous/Phase Std. Volume CE,5752
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),CHEST,Topogram  0.6  T20f,5710
CT,CT Thorax & abdo & pelvis with contrast,,Lung 1.0 Lung Volume Port_Ven/Phase CE,5704
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,5  Venous/Phase  CE,5701
CT,NM Whole body PET FDG,,Scout,5696
CT,Thorax^1_ChestAbdoPelvis (Adult),CHEST,Topogram  1.0  T20s,5694
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),,Patient Protocol,5684
CT,CT Colonoscopy (Virtual),,Patient Protocol,5683
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),CHEST,Thorax  5.0  I70f  3,5679
CT,CT Head with contrast,,SCOUT,5668
CT,CT Thorax & abdo & pelvis with contrast,,2,5640
CT,CT Abdomen  pelvis with contrast,,Patient Protocol,5631
CT,CT Thorax abdomen pelvis with contrast,CHEST,Thorax  1.0  B31f,5618
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5.0 Body Arterial/Phase/Sagittal Std. Volume CE,5599
CT,CT Head,HEAD,2.0   Sharp  Scano,5584
CT,CT Angiogram Pulmonary,CTPA,CTA 1.0 CE,5581
CT,Thorax^1_ChestAbdoPelvis (Adult),CHEST,MEDIASTINUM 2MM,5519
CT,Thorax^ChestLiverStaging (Adult),CHEST,PV Liver  1.0 Thins,5510
CT,CT Head,HEAD,1.0 Head Brain (FC23),5503
CT,NM Whole Body PET FDG,,Patient Protocol,5466
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,Body 1.0 CE,5443
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,5  Portal Ven/Phase  CE,5443
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,5.0 Body Venous/Phase/Coronal Std. Volume CE,5424
CT,CT Thorax and abdomen with contrast,CHEST,Topogram,5422
CT,ABDOMEN/PELVIS,ABDOMEN_PELVIS,Body 1.0 PORTAL VEN CE,5402
CT,Head^-01 Head 2.5 GR LW,HEAD,Topogram,5394
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,5,5368
CT,Thorax^-01 Chest Abdo Pelvis 2.5,CHEST,CAP 5.0 B45f,5341
CT,CT Angiogram Pulmonary,,CTPA 1.25mm,5340
CT,CT Thorax abdomen pelvis with contrast,,SCOUTS,5312
CT,,,Individually captured images,5311
CT,CT Thorax,CHEST,2,5298
CT,CT Angiogram Pulmonary,CTPA,2,5297
CT,CT Thorax abdomen pelvis with contrast,CHEST,5  60s/Delay  CE,5282
CT,CT Thorax,CHEST,",Sharp,,,",5279
CT,CT Head with contrast,,Patient Protocol,5265
CT,CT Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5  Venous/Phase  CE,5242
CT,CT Chest/Abdo/Pelvis,,Exam Summary,5214
CT,CT Head,,Recon 2: 2.5mm Axial Head,5210
CT,CT Angiogram Pulmonary,ABDOMEN,Topogram  0.6  T20f,5209
CT,Head^-01 Head 2.5 GR LW,HEAD,RoutineSeq 2.5 H40s,5207
CT,CT Angiogram aorta,,Smart Prep Series,5204
CT,Thorax^CHESTABDOPELVIS (Adult),CHEST,MEDIASTINUM 2MM,5192
CT,CT Urogram,,IST PART UROGRAM,5155
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),ABDOMEN,Abdomen  1.0  I26f  3,5145
CT,Abdomen^AbdomenRoutine (Adult),ABDOMEN,Abdomen  1.5,5145
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,2,5126
CT,"CT Chest, Abdo, Pelvis + C",,Dose Report,5106
CT,CT Thorax abdomen pelvis with contrast,,KEY_IMAGES,5105
CT,CT Thorax and abdomen with contrast,,Scout,5096
CT,Thorax^01Chest-Abdo-Pelvis_VOL,,Patient Protocol,5072
CT,CT Colonoscopy virtual,,Dose Report,5065
CT,,HEAD,Head 1.0,5043
CT,CT Chest/Abdo/Pelvis,,Dose Report,5034
CT,CT Head,BRAIN,"2MM SOFT TISSUE, iDose (2)",5026
CT,HEAD,HEAD,",2.0,Sharp,,Scano,",4997
CT,CT Head,BRAIN,"0.9mm bone, iDose (2)",4980
CT,CT Head,,2.5mm Axial Head,4978
CT,CT Urogram,,Patient Protocol,4969
CT,CT Head With Contrast,,Dose Report,4950
CT,CT Head,HEAD,1.0 Head  Brain Volume,4940
CT,CHEST/ABDO,CHEST_ABDO,2,4935
CT,Head^01HeadSpiral_4x1_VOL,HEAD,Thin Slice 5.0 H41s,4920
CT,Head,HEAD,2,4898
CT,CT KUB,KUB,2,4898
CT,CT Thorax,,Dose Report,4874
CT,Abdomen^1_AbdoPelvisRoutine (Adult),ABDOMEN,Topogram  1.0  T20s,4866
CT,Thorax^Ayr_Staging_Chest_for_SC (Adult),,Patient Protocol,4861
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5.0 Body Venous/Phase/Sagittal Std. Volume CE,4853
CT,CT Thorax with contrast,CHEST,2,4847
CT,CT Head,,//Sharp/2.0//,4838
CT,CT Chest/Abdo/Pelvis,ABDOMEN,"2MM ST, iDose (3)",4837
CT,Thorax^1_Thorax_NonC_SAFIRE (Adult),CHEST,Thorax  1.0  I31f  3,4815
CT,CT Angiogram aorta,,Dose Report,4814
CT,CT Chest high resolution,,SCOUT,4801
CT,CT Guided biopsy lung,CHEST,Body 2.0,4801
CT,CT Chest/Abdo/Pelvis,ABDOMEN,"2MM Lung, iDose (3)",4777
CT,Head^Head_Spiral_BGH (Adult),HEAD,Topogram  0.6  T20f,4765
CT,CT Thorax abdomen pelv,,SCOUT,4764
CT,HEAD,,Head 1.25mm,4750
CT,CT Cone beam mandible,,,4743
CT,CT Abdomen  pelvis with contrast,ABDOMEN,Abdomen  1.0  B20f,4730
CT,CT Head,HEAD,Head  1.0 3D,4706
CT,CT Chest high resolution,,Patient Protocol,4702
CT,Abdomen^4_KUB (Adult),ABDOMEN,Topogram  0.6  T20f,4671
CT,CT Head,,2.5mm HEAD,4666
CT,CT Angiogram pulmonary,,Scout,4665
CT,Abdomen^Ayr_Abdo_Pel (Adult),,Patient Protocol,4661
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,5   Venous/Phase CE,4653
CT,NM Whole body PET FDG,,CT Scout ET,4637
CT,CT Chest/Abdo/Pelvis,CHEST,"Lung, iDose (3)",4626
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,5,4610
CT,CT Cardiac Angiogram Coronary,,Dose Report,4605
CT,CT Thorax abdomen pelv,,Recon 2:  CAP (DMPR) 1.25MM,4605
CT,NM Whole body PET FDG,,CT AC ET 710,4602
CT,Thorax^ChestAbdoBolus (Adult),,Patient Protocol,4592
CT,CTPA,,Scout,4583
CT,CT Chest,,Dose Report,4580
CT,Abdomen^ABDOPELVIS_SAFIRE (Adult),ABDOMEN,AbdoPelvis  1.5  I26f  3,4572
CT,Thorax^ChestAbdoBolus (Adult),CHEST,Thorax  1.5 lung,4553
CT,CT Urinary tract,,SCOUT,4542
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,TAP  1.0  I30f  3,4510
CT,CT Urogram,,2ND PART UROGRAM,4510
CT,Thorax^1_ChestAbdo (Adult),,Patient Protocol,4510
CT,Abdomen^1_AbdoPelvisRoutine (Adult),,Patient Protocol,4504
CT,CT KUB,KUB,Body 1.0,4497
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,5.0 Body Venous/Phase/Sagittal Std. Volume CE,4482
CT,CT Thorax abdomen pelvis with contrast,CHEST,KEY_IMAGES,4464
CT,HEAD,HEAD,Head 1.0,4463
CT,CT Neck/Thorax/Abdo/Pelvis With Contrast,,Dose Report,4461
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Chest Liver  1.0,4438
CT,CT Head,,1.25/0.625 Stnd,4432
CT,CT Thorax abdomen pelv,,Recon 3: 5MM  HELICAL,4432
CT,CT HeadAcute Stroke,BRAIN,"1mm, iDose (1)",4431
CT,Abdomen^ABDOPELVIS_SAFIRE (Adult),ABDOMEN,Topogram  0.6  T20f,4421
CT,CT Guided biopsy lung,CHEST,Body 4.0,4414
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5  Venous/Phase  CE,4393
CT,HEAD,HEAD,",0.5,Brain,Head,Vol,",4379
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5.0 Body Arterial/Phase/Coronal Std. Volume CE,4375
CT,Head^Sinuses (Adult),,Patient Protocol,4361
CT,CT Urinary tract,ABDOMEN,Body 1.0,4354
CT,Thorax^ChestAbdoBolus (Adult),CHEST,Thorax  1.5,4344
CT,CT Chest high resoluti,,SCOUT,4341
CT,Thorax^1_ChestAbdoPelvis (Adult),,Patient Protocol,4340
CT,NM Whole Body PET FDG,ABDOMEN,AC CT WB,4317
CT,CT Chest With Contrast,CHEST,Topogram  0.6  T20f,4271
CT,Head^Head_Spiral_BGH (Adult),,Patient Protocol,4261
CT,CT Head,BRAIN,"5mm to Baseline, iDose (1)",4258
CT,Thorax^ChestAbdoPelvis_SAFIRE_LCAD (Adult),CHEST,Topogram  0.6  T20f,4245
CT,CHEST/ABDO/PELVIS,,Dose Report,4242
CT,CT Chest/Abdo/Pelvis,CHEST,iDose (3),4226
CT,CT Angiogram Pulmonary,CHEST,Topogram  0.6  T20f,4225
CT,Head^SpiralHead (Adult),,Patient Protocol,4215
CT,CT Chest/Abdo/Pelvis,ABDOMEN,iDose (4),4209
CT,CT Thorax & abdomen wi,,Smart Prep Series,4202
CT,CT Abdomen/Pelvis With Contrast,,Post Contrast SS40,4199
CT,CT Thorax abdomen pelvis with contrast,CAP,2,4195
CT,Abdomen^1_AbdomenPelvis_SAFIRE (Adult),ABDOMEN,Abdomen  2.0  I70f  3,4174
CT,Abdomen^Colon_BGH (Adult),ABDOMEN,Topogram  0.6  T20f,4165
CT,ABDO PELVIS,,Dose Report,4164
CT,CT Head,HEAD,Thin Brain  0.5 Head Brain FC23,4160
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,5 Venous/Phase CE,4158
CT,CT Thorax and abdomen,,Dose Report,4154
CT,Head,HEAD,2.0  Smooth,4138
CT,ABDOMEN/PELVIS,ABDOMEN_PELVIS,5 PORTAL VEN CE,4137
CT,ABDOMEN,ABDOMEN,2.0   Sharp,4134
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,2,4130
CT,CT Head,,AXIAL 5/7.5,4123
CT,CT Abdomen  pelvis with contrast,ABDOMEN,KEY_IMAGES,4121
CT,Thorax^ChestAbdoPelvis_SAFIRE_LCAD (Adult),ABDOMEN,AbdoPelvis  1.5  I26f  3,4102
